"ET","CC","Priority","CI","OE","OW","NI","SI","RI","FI"
174.099,3,2,3,0,17623,0,0,1,2
428.105,5,2,12,0,17623,1,1,2,6
170.089,4,2,3,0,17623,1,0,1,4
151.428,3,2,1,0,17623,0,0,3,0
693.873,3,2,0,40,97,0,1,2,0
50.19,3,2,3,0,17623,0,0,1,2
3.226,7,2,6,488,16,10,1,0,10
367.224,4,2,2,99,331,0,0,3,3
266.319,4,2,4,375,249,0,0,3,3
40.699,3,2,2,0,17623,1,0,0,2
269.904,4,2,3,0,17623,3,0,0,3
369.897,4,2,3,99,331,0,0,3,3
261.282,18,2,24,99,331,136,0,0,17
273.946,3,2,1,18,9,0,1,0,2
575.034,5,2,4,0,17623,1,2,1,6
467.4,5,2,4,375,249,1,1,2,6
617.931,3,2,2,0,17623,0,2,1,0
229.233,19,2,21,0,5,120,0,3,48
131.345,21,2,23,99,331,153,0,3,54
109.662,6,2,4,0,17623,6,0,1,8
587.132,3,2,2,375,249,0,0,3,0
86.395,6,2,8,0,17623,10,0,0,5
104.846,21,2,25,18,9,153,3,0,54
109.671,20,2,21,0,17623,120,3,3,64
369.861,3,2,3,99,331,0,0,1,2
391.449,6,2,8,0,17623,3,1,2,9
632.17,11,2,10,0,17623,28,0,3,24
690.362,10,2,11,0,17623,6,10,5,24
789.249,4,2,0,0,17623,0,2,4,0
71.836,3,2,3,0,17623,0,3,0,0
797.923,6,2,1,2,8,1,3,3,8
661.236,15,2,18,84,118,66,0,3,36
461.902,9,2,8,99,331,6,5,5,20
408.976,3,2,3,5,15,0,0,1,2
460.025,5,2,5,99,331,0,0,6,4
563.17,6,2,4,375,249,0,2,8,5
700.558,20,2,23,17,17,120,2,4,64
842.65,6,2,3,375,249,1,0,6,8
177.837,6,3,13,0,17623,3,2,1,9
467.448,3,2,1,375,249,0,0,1,2
371.088,3,2,2,99,331,0,0,3,0
52.889,4,2,7,0,17623,0,6,0,0
804.929,3,2,9,0,17623,1,0,0,2
673.362,5,2,4,0,17623,0,4,2,4
586.455,10,2,10,0,17623,21,2,1,21
297.273,5,2,3,111,40,3,0,1,6
168.236,16,2,22,375,249,78,1,2,39
539.412,6,2,4,40,97,3,0,3,9
467.415,3,2,1,375,249,0,0,1,2
173.983,4,2,4,0,17623,1,0,1,4
790.89,4,2,12,0,17623,0,0,3,3
167.216,6,2,4,0,17623,1,3,3,8
692.008,25,2,23,0,5,171,8,7,114
680.134,12,2,18,0,17623,15,10,5,36
248.159,3,2,0,0,17623,0,0,3,0
524.425,4,2,4,375,249,0,0,6,0
55.282,4,2,3,0,17623,0,3,0,3
418.59,3,2,3,99,331,0,0,1,2
649.251,7,2,5,375,249,3,3,3,12
522.915,3,2,1,375,249,0,0,1,2
522.359,6,2,4,375,249,1,1,5,8
751.294,15,2,15,96,115,45,2,8,50
467.445,3,2,1,375,249,0,0,1,2
408.002,3,2,0,40,97,0,0,3,0
685.892,22,2,20,255,57,153,2,4,72
698.985,13,2,13,0,17623,66,0,0,12
545.356,3,2,1,255,57,0,0,1,2
304.494,3,2,2,0,17623,0,0,1,2
558.108,15,2,16,0,17623,91,0,0,14
22.157,4,2,2,0,17623,0,1,2,3
833.058,9,2,6,138,92,3,5,10,18
765.206,11,2,11,99,331,36,0,1,18
207.428,12,2,11,0,17623,36,2,1,27
785.763,4,2,0,17,17,0,1,5,0
170.128,8,2,7,0,17623,3,4,6,15
270.185,4,1,4,0,17623,0,2,1,3
112.747,15,2,25,99,331,66,3,0,36
39.988,3,2,0,0,17623,0,0,3,0
501.31,4,2,3,0,17623,0,2,4,0
119.323,5,2,6,292,122,0,2,4,4
396.216,3,2,5,99,331,0,1,2,0
541.183,4,2,2,40,97,0,0,3,3
245.255,8,2,8,0,17623,6,3,3,16
288.075,4,2,2,0,17623,1,0,1,4
374.045,3,2,2,99,331,0,0,3,0
53.227,3,2,0,255,57,0,0,3,0
383.469,4,2,3,99,331,0,1,5,0
369.891,3,2,4,99,331,0,0,1,2
227.871,6,2,4,111,40,6,0,1,8
370.73,3,2,2,99,331,0,0,3,0
373.909,3,2,2,99,331,0,0,3,0
438.926,5,2,6,99,331,3,0,1,6
173.099,6,2,22,375,249,1,3,3,8
368.233,3,2,2,99,331,0,0,3,0
792.277,7,2,4,0,17623,3,0,6,12
469.668,3,2,3,99,331,0,0,1,2
45.184,4,2,4,292,122,0,0,3,3
476.625,4,2,2,99,331,0,2,4,0
378.516,11,2,12,0,17623,21,2,4,28
363.143,4,2,3,99,331,0,0,3,3
655.92,8,2,7,0,17623,15,0,1,12
224.953,22,3,24,8,49,153,4,2,72
109.699,13,2,23,0,17623,55,0,1,22
356.121,5,2,5,99,331,0,0,6,4
736.755,8,2,11,99,331,10,0,3,15
512.236,17,2,23,0,17623,78,2,4,52
539.511,5,2,4,0,17623,3,0,1,6
349.152,7,2,8,99,331,3,0,6,12
601.633,4,2,5,0,17623,0,1,2,3
546.704,6,2,6,0,17623,6,0,1,8
347.128,4,2,2,99,331,0,0,3,3
347.128,3,2,1,99,331,0,0,3,0
342.753,3,2,1,99,331,0,0,3,0
412.574,23,2,24,0,17623,231,0,0,22
247.359,7,2,6,0,17623,6,1,2,12
461.42,21,2,22,33,71,120,5,5,80
339.74,4,2,2,99,331,0,0,3,3
338.982,3,2,1,99,331,0,0,3,0
81.439,6,3,16,0,17623,6,0,1,8
337.184,3,2,5,99,331,0,0,3,0
694.732,9,3,16,120,90,6,7,3,20
347.968,4,2,7,375,249,3,0,0,3
319.426,10,2,15,99,331,15,2,4,24
293.056,3,2,1,99,331,0,0,3,0
437.947,4,2,5,84,118,1,0,1,4
631.233,8,2,7,96,115,10,0,3,15
33.991,3,2,1,0,17623,0,1,2,0
777.421,4,2,2,0,17623,0,2,4,0
168.65,22,2,24,0,17623,190,0,1,40
569.494,4,2,2,4,6,3,0,0,3
12.086,3,2,2,292,122,0,0,1,2
62.918,4,2,8,0,17623,1,0,1,4
28.252,3,2,2,0,17623,1,0,0,2
218.415,3,2,1,0,17623,0,0,1,2
421.244,3,2,1,375,249,0,0,1,2
377.079,4,2,5,375,249,3,0,0,3
308.809,5,2,5,99,331,0,0,6,4
336.336,7,2,5,0,17623,6,1,2,12
417.068,7,2,8,375,249,10,0,1,10
