"ET","CC","Pr","CI","OE","OW","NI","SI","RI","FI"
9025.2403,7,5,24,1289,3049,3,5,1,12
16563.3925,5,3,11,124,846,3,1,0,6
15869.2761,7,1,36,124,846,1,6,4,10
14478.0603,6,4,22,124,846,1,0,6,8
10752.3303,7,4,23,124,846,3,4,2,12
9747.8478,4,4,7,64,920,0,1,5,0
9394.9839,4,4,31,124,846,0,0,3,3
28971.0358,11,4,40,64,920,15,2,8,30
22202.3672,4,3,9,64,920,0,0,3,3
23104.41,3,3,17,124,846,0,2,1,0
15073.9869,4,4,6,124,846,0,0,3,3
14857.2383,3,4,77,68,32,0,0,1,2
19974.6067,4,4,9,124,846,0,0,3,3
14073.225,4,1,13,64,920,0,2,1,3
18984.7789,4,5,9,124,846,0,0,3,3
27194.3308,6,3,8,2,27,1,2,4,8
28971.8033,7,4,15,124,846,0,6,15,0
30868.0186,5,3,8,4,374,0,3,3,4
22111.1208,5,3,8,124,846,0,0,6,4
8874.8581,4,3,14,341,568,0,0,3,3
161.7714,4,4,3,124,846,0,3,3,0
19206.0847,4,3,12,124,846,0,0,3,3
95.95,7,6,15,124,846,1,0,10,10
117.9064,6,3,13,124,846,0,0,15,0
104.1869,9,6,26,124,846,1,4,17,14
61.7794,6,6,13,124,846,0,0,10,5
9597.3947,10,4,19,64,920,10,0,10,25
859.7886,6,3,11,341,568,1,4,2,8
30820.0219,4,3,8,64,920,3,0,0,3
53091.1886,5,3,7,0,51,6,0,0,4
32052.0531,13,4,38,124,846,3,19,26,30
406.8233,5,3,19,124,846,1,0,3,6
5745.9414,22,4,29,376,1291,45,38,28,120
14446.6992,5,4,23,64,920,0,3,3,4
146.5786,4,4,4,376,1291,1,0,1,4
6082.9656,5,3,9,376,1291,0,0,6,4
27165.0311,7,5,10,64,920,1,4,6,10
29085.385,3,3,6,124,846,1,0,0,2
29109.3353,3,3,8,124,846,0,0,1,2
53431.8425,4,3,6,4,374,0,3,0,3
38502.4925,4,4,13,9,196,0,1,2,3
28751.9286,3,4,10,68,32,0,1,2,0
24865.6956,3,4,10,64,920,0,2,1,0
31582.8981,4,4,17,124,846,0,2,4,0
22000.9122,4,5,11,124,846,0,2,4,0
35.6053,4,3,3,376,1291,0,1,2,3
7876.6531,15,4,48,196,606,36,7,8,54
20666.4297,4,5,11,0,49,1,1,0,4
16378.9103,5,3,7,64,920,1,3,0,6
1104.055,4,3,14,124,846,0,1,2,3
10081.1683,14,4,34,196,606,10,16,20,45
1193.7547,5,3,4,124,846,1,0,3,6
1748.5711,3,3,15,196,606,0,0,3,0
9733.9647,5,3,21,74,92,1,3,0,6
8251.5253,3,3,25,74,92,0,0,3,0
666.4608,10,7,30,466,1251,3,12,9,21
6810.7953,3,3,20,59,101,0,0,3,0
9734.2503,5,3,22,59,101,0,0,10,0
7006.8847,3,3,18,59,101,0,0,3,0
8520.4172,4,4,39,59,101,0,0,3,3
3115.8767,3,4,12,74,92,0,0,3,0
6746.6478,7,3,24,33,116,10,0,1,10
11092.545,4,4,32,466,1251,0,0,3,3
14546.5564,4,3,13,0,388,0,0,3,3
5067.1733,4,3,22,466,1251,0,1,5,0
15315.1928,4,3,25,33,116,0,0,3,3
11932.7953,4,3,19,33,116,0,1,5,0
4247.7769,3,3,6,10,64,0,1,0,2
16268.9153,3,4,38,34,118,1,0,0,2
171.3589,4,3,19,345,442,1,0,1,4
9915.5578,3,3,5,13,44,3,0,0,0
13035.8867,5,4,17,1,1,1,0,3,6
1474.8869,4,3,16,45,28,3,0,0,3
4197.495,3,3,14,45,28,0,0,3,0
3997.8128,3,3,13,45,28,0,0,3,0
3757.6969,3,3,7,15,8,0,1,2,0
3667.1972,3,3,8,45,28,0,0,3,0
3667.0644,4,3,10,45,28,0,0,3,3
3662.4153,3,3,7,45,28,0,0,3,0
1743.6428,3,3,7,83,51,0,0,3,0
1743.2433,3,3,8,83,51,0,0,3,0
1701.6936,3,3,18,45,28,0,0,3,0
1696.2622,3,3,7,83,51,0,0,3,0
2778.3875,5,4,26,45,28,0,1,5,4
520.7772,3,3,18,138,181,0,0,3,0
18291.8139,4,3,29,138,181,0,4,2,0
1543.0119,4,5,11,32,82,1,0,1,4
7848.0703,5,3,20,32,82,1,0,3,6
3204.8189,5,2,13,32,82,0,1,9,0
9928.6169,7,2,22,32,82,1,2,8,10
4030.77,6,4,17,32,82,0,3,12,0
2986.2572,6,4,13,32,82,0,0,10,5
1179.3533,3,7,9,95,351,0,0,1,2
963.4906,4,5,12,95,351,0,0,3,3
963.8772,4,5,12,95,351,0,0,6,0
5539.6036,5,1,12,95,351,0,1,5,4
7203.0814,5,3,27,95,351,0,1,9,0
6067.8853,5,3,12,95,351,0,0,10,0
1950.0136,4,2,15,95,351,0,0,3,3
199.6653,4,3,6,0,261,0,0,3,3
8067.6033,8,3,23,95,351,3,1,9,15
691.8636,8,3,31,0,2951,3,6,4,15
5926.1061,4,4,12,1545,2019,0,3,0,3
71743.8633,5,6,8,0,77,1,1,2,6
235.8761,3,3,6,0,2951,0,0,1,2
3542.7644,6,3,11,0,2951,0,5,10,0
2492.8925,4,7,14,1545,2019,0,1,5,0
37028.6522,8,4,23,0,2951,1,1,14,12
5277.1778,10,5,38,1545,2019,3,16,5,21
1492.7506,7,7,24,0,2951,1,5,5,10
80.9628,4,4,8,0,2951,0,4,2,0
11734.5889,4,6,14,1545,2019,0,1,2,3
2280.3575,6,7,10,0,2951,0,3,7,5
1380.6664,10,3,19,0,2951,3,6,15,21
3.1475,3,3,7,0,2951,0,0,3,0
1623.4,4,6,11,1545,2019,0,2,1,3
16.225,4,3,6,0,2951,1,1,0,4
4295.8142,5,3,13,0,2951,0,6,4,0
595.1628,11,3,18,0,2951,6,18,3,28
730.6756,4,3,4,660,761,1,0,1,4
6354.3419,6,3,20,0,2951,3,0,3,9
21048.4875,4,3,13,175,667,0,0,3,3
13486.6886,4,3,8,0,994,0,0,6,0
21211.1433,4,3,11,175,667,0,0,3,3
35004.4367,5,4,31,0,994,0,5,5,0
22238.3403,4,3,19,211,17,0,2,4,0
10495.4086,10,5,19,0,994,1,14,14,16
529.0475,3,3,9,1409,1477,0,2,1,0
568.7781,4,3,9,1409,1477,0,3,3,0
2218.5167,3,3,14,1409,1477,0,0,3,0
1678.2239,3,3,25,2842,2685,0,1,0,2
998.2444,3,3,10,1409,1477,0,2,1,0
881.7892,6,3,13,2842,2685,1,2,4,8
306.8819,3,3,12,1289,1315,1,0,0,2
1038.25,5,3,21,695,928,1,2,1,6
1654.1625,4,3,21,732,1030,0,2,1,3
158.8453,9,3,8,3065,1844,10,5,1,20
1719.7656,3,3,33,4366,3624,0,2,1,0
143.3458,5,3,6,148,87,0,6,4,0
4972.4331,4,3,14,3108,4998,0,2,1,3
5049.5219,4,5,18,772,1428,0,1,2,3
2322.1314,4,3,17,242,515,0,2,1,3
169.3558,3,3,14,242,515,0,2,1,0
1221.0278,4,3,17,732,1030,0,3,3,0
281.9964,4,5,17,160,92,0,0,3,3
680.8433,4,3,12,724,919,0,0,3,3
326.6431,4,3,11,724,919,0,5,1,0
280.5694,4,3,10,160,92,0,3,3,0
303.1172,4,3,14,724,919,0,3,3,0
65.6719,3,5,8,1295,1567,0,0,3,0
280.1458,5,3,14,160,92,0,6,4,0
74.7872,3,5,8,1295,1567,0,0,3,0
90.9628,4,3,9,1295,1567,0,0,3,3
278.7631,4,3,9,160,92,0,1,2,3
94.31,3,3,8,1295,1567,0,1,2,0
95.9728,4,3,10,1295,1567,0,1,5,0
101.8739,4,3,12,1295,1567,0,2,4,0
121.0056,4,3,11,1295,1567,0,0,3,3
278.7783,5,3,13,160,92,0,3,7,0
137.3233,3,6,9,1295,1567,0,0,3,0
278.9094,4,3,9,160,92,0,3,3,0
261.255,4,2,17,9379,3289,0,2,4,0
278.8467,4,3,10,160,92,0,3,3,0
254.0422,4,3,13,9379,3289,0,0,3,3
278.6164,4,3,10,160,92,0,1,5,0
278.5094,5,5,19,160,92,0,6,4,0
2085.6453,3,3,12,1409,1477,0,1,2,0
303.2458,4,5,14,724,919,0,0,3,3
286.4547,3,1,16,724,919,0,1,2,0
214.1486,3,3,10,5649,1879,0,0,3,0
161.3497,4,5,12,5649,1879,0,1,5,0
262.7367,4,5,16,9379,3289,0,0,6,0
4653.8639,8,3,24,3065,1844,0,13,8,7
405.9692,6,3,17,724,919,0,5,10,0
1480.8742,5,3,18,634,955,1,1,2,6
235.9608,5,3,12,5649,1879,0,1,9,0
279.3008,4,3,11,634,955,0,2,4,0
234.2044,4,3,11,5649,1879,0,0,3,3
268.2742,4,5,13,160,92,0,1,5,0
268.3061,4,3,11,160,92,0,1,5,0
268.0781,4,5,11,160,92,0,0,3,3
286.7981,3,5,12,724,919,0,0,3,0
5650.4258,4,3,18,634,955,0,1,5,0
267.045,4,5,12,160,92,0,0,6,0
96.4303,4,3,9,1295,1567,0,0,6,0
234.7528,4,3,15,5649,1879,0,0,3,3
267.2369,4,3,10,160,92,0,0,6,0
263.0803,3,1,13,9379,3289,0,0,3,0
234.305,3,3,10,1409,1477,0,0,3,0
163.1961,3,3,13,1409,1477,0,0,1,2
263.1731,4,3,12,9379,3289,0,2,4,0
207.1908,3,3,9,5649,1879,0,0,3,0
171.3819,3,3,11,5649,1879,0,0,3,0
265.9211,5,3,17,160,92,0,1,9,0
264.6469,4,4,11,160,92,0,1,5,0
