"ET","CC","Pr","CI","OE","OW","NI","SI","RI","FI"
1560.9356,5,3,9,139,39,0,0,6,4
1453.8836,4,3,4,3863,370,0,0,6,0
1382.3639,4,3,4,3863,370,0,0,6,0
1367.7331,5,3,6,3863,370,0,0,6,4
1338.1986,4,3,12,3863,370,0,1,5,0
1323.6261,3,3,3,3863,370,0,0,3,0
1268.8814,4,3,7,579,102,0,0,6,0
1238.4881,3,3,5,1396,310,0,0,3,0
1238.4383,3,3,4,1396,310,0,0,3,0
1230.6,4,3,4,3863,370,0,0,6,0
1223.5717,5,3,9,5,2,0,0,6,4
1222.5297,3,3,7,1396,310,0,1,2,0
1210.7436,6,3,7,3863,370,0,5,10,0
1185.4961,5,3,6,66,19,0,1,9,0
1160.7086,4,3,5,139,39,0,0,6,0
1142.5192,3,3,6,579,102,0,0,3,0
1022.5806,4,3,4,755,163,0,0,6,0
930.4736,4,3,4,367,67,0,0,6,0
920.0172,4,3,5,3863,370,0,0,6,0
850.4219,3,3,11,0,15804,1,0,0,2
849.8031,3,3,6,46,15,0,1,2,0
835.9778,3,3,5,294,73,0,0,3,0
800.9272,5,3,6,367,67,0,4,6,0
758.8156,3,3,4,294,73,0,0,3,0
734.0497,4,3,10,80,30,0,1,5,0
693.9917,4,3,8,294,73,0,3,3,0
560.5397,3,3,6,294,73,0,1,2,0
544.7392,3,3,7,2615,293,0,1,2,0
538.2447,3,3,7,27,14,0,0,3,0
493.7864,4,3,8,2615,293,0,0,6,0
417.9069,4,3,4,3863,370,0,0,6,0
156.6589,4,3,8,294,73,0,0,3,3
3377.8508,7,2,15,80,30,0,4,11,6
2056.52,5,2,9,139,39,0,1,9,0
1439.1386,3,2,6,294,73,0,1,2,0
1432.145,4,2,7,294,73,0,0,6,0
1363.8881,4,2,7,367,67,0,0,6,0
1242.2,5,2,9,5,2,0,0,10,0
926.1953,3,2,5,294,73,0,0,3,0
537.4958,5,2,8,294,73,0,3,7,0
2547.2683,3,1,10,294,73,0,1,2,0
1591.6906,3,1,6,0,15804,0,0,3,0
1531.1611,4,1,4,367,67,0,0,6,0
1530.8506,5,1,18,0,15804,0,0,10,0
1427.5458,4,1,6,0,15804,0,0,6,0
1354.9375,4,1,6,0,15804,0,0,6,0
490.0539,3,4,9,294,73,0,1,2,0
1569.9197,3,4,7,139,39,0,0,3,0
1527.2278,3,4,10,66,19,0,1,2,0
1521.1086,5,4,6,3863,370,0,0,10,0
1496.1494,5,4,6,62,9,0,0,6,4
1482.0283,5,4,7,80,30,0,0,6,4
1480.5519,4,4,8,80,30,0,2,4,0
1467.9867,4,4,11,0,15,0,1,2,3
1429.6294,5,4,8,2684,416,0,2,4,4
1412.0283,3,4,5,2242,181,0,0,3,0
1392.8069,6,4,12,139,39,0,2,13,0
1215.6633,3,4,4,461,55,0,1,2,0
1165.4886,4,4,5,227,59,0,0,6,0
1039.9203,3,4,10,27,14,0,0,3,0
1036.0578,4,4,4,3863,370,0,0,6,0
1019.7647,3,4,9,294,29,0,0,3,0
981.9333,4,4,4,367,67,0,0,6,0
978.915,5,4,7,367,67,0,0,10,0
912.1419,6,4,9,80,30,0,2,8,5
876.9181,5,4,9,461,55,0,2,8,0
870.9069,4,4,5,57002,161,0,0,6,0
832.0214,4,4,4,367,67,0,0,6,0
729.3428,5,4,6,367,67,0,0,10,0
682.6725,4,4,6,850,157,0,0,3,3
660.545,5,4,9,80,30,0,4,6,0
656.8083,6,4,11,3863,370,0,1,14,0
641.3228,4,4,6,39,9,0,0,6,0
640.58,5,4,7,3863,370,0,0,10,0
562.1339,4,4,6,2615,293,0,0,6,0
560.2456,4,4,4,3863,370,0,0,6,0
550.4761,3,4,6,294,73,0,0,3,0
543.5864,4,4,5,2615,293,0,0,6,0
541.0964,3,4,5,572,19,0,0,3,0
492.655,5,4,8,39,9,0,3,7,0
393.6369,3,4,7,80,30,0,1,2,0
380.1147,3,4,6,28,6,0,0,1,2
331.7322,3,4,8,80,30,0,0,3,0
231.3711,4,4,4,3863,370,0,0,6,0
4604.7014,3,3,7,0,15804,0,0,3,0
4550.6853,4,3,6,294,73,0,0,6,0
3520.275,5,3,14,44,23,0,1,9,0
3417.0739,3,3,12,125,42,0,1,2,0
2337.0447,3,3,8,44,23,0,0,3,0
2317.7433,3,3,7,1162,209,0,0,1,2
2032.8458,3,3,10,44,23,0,1,2,0
2025.1403,5,3,8,2,1,0,0,6,4
1308.3811,3,1,6,0,15804,0,0,3,0
1286.9344,3,1,6,0,15804,0,0,3,0
996.3397,3,1,7,0,15804,0,0,3,0
972.5406,3,1,4,58,23,0,1,2,0
827.0919,3,1,5,294,29,0,0,3,0
823.2575,4,1,4,572,19,0,0,6,0
732.0836,3,1,3,572,19,0,0,3,0
639.8947,3,1,4,2684,416,0,0,3,0
636.2492,3,1,5,2615,293,0,0,3,0
567.3131,5,1,7,227,59,0,0,10,0
406.0681,4,1,6,0,15804,0,0,6,0
1602.7417,5,1,9,0,15804,0,0,6,4
511.2383,5,4,10,227,59,0,0,10,0
1600.4192,4,5,3,57002,161,0,2,4,0
1105.7503,5,2,5,56,6,0,0,10,0
675.9303,3,6,6,0,15804,0,0,1,2
1177.0622,4,4,7,0,15804,0,2,4,0
327.5944,4,5,12,8,1,0,0,6,0
2759.19,5,5,14,367,67,0,0,10,0
410.9492,4,5,19,0,6,0,0,6,0
77.2475,4,3,6,37,13,0,0,3,3
5.6453,4,3,5,37,13,0,0,6,0
1998.3897,5,3,8,37,13,0,1,9,0
735.5911,6,4,9,3863,370,0,1,14,0
913.7922,3,1,5,0,15804,0,0,1,2
190.2228,4,5,6,37,13,0,0,6,0
180.1764,3,4,4,2225,411,0,1,0,2
590.9517,3,1,4,2225,411,0,0,1,2
308.9236,4,6,5,37,13,0,0,6,0
1249.7378,5,2,9,44,23,0,1,9,0
1431.53,8,5,13,55,22,1,4,11,12
3594.8328,8,4,15,367,67,0,5,23,0
2115.3875,4,4,15,0,15804,0,3,3,0
1424.0694,4,6,8,2684,416,0,0,3,3
1560.9847,5,3,8,139,39,0,0,10,0
4946.3589,5,4,10,8,1,1,2,1,6
1486.1919,5,1,7,367,67,0,0,10,0
1811.2567,3,5,4,0,15804,3,0,0,0
538.8481,3,4,5,3863,370,0,1,2,0
739.7003,3,5,2,1076,34,0,1,0,2
5459.7442,4,5,6,2061,23,0,2,4,0
1406.7258,4,5,13,335,67,0,0,6,0
1984.7639,4,6,9,2242,181,0,4,2,0
3969.2283,5,5,5,2242,181,0,1,9,0
686.6103,4,5,4,2242,181,0,0,6,0
2539.8911,5,4,14,2615,293,0,0,6,4
162.2747,4,4,7,227,59,0,2,4,0
66.78,3,4,5,755,163,0,0,3,0
205.8625,4,3,5,462,94,0,0,3,3
158.3322,4,3,4,2242,181,0,0,6,0
985.9347,5,5,11,1023,54,1,0,3,6
974.77,3,5,9,139,39,0,1,2,0
4930.2744,4,3,7,2242,181,0,1,5,0
836.9256,6,3,12,4005,69,1,1,5,8
476.4897,3,3,4,2684,416,0,1,2,0
1306.4056,6,6,7,2242,181,0,0,10,5
876.3364,5,6,5,2242,181,0,0,6,4
1212.6558,5,5,9,367,67,0,0,10,0
972.8978,3,5,6,1023,54,0,0,3,0
808.3147,5,5,9,1023,54,0,2,8,0
5514.3497,5,4,7,2242,181,0,1,9,0
3523.6878,6,4,18,6378,106,1,2,4,8
1234.5164,5,4,6,2615,293,0,0,10,0
1211.0272,3,4,5,755,163,0,0,3,0
1168.9231,3,4,4,755,163,0,0,3,0
1061.8747,6,4,11,2615,293,1,1,5,8
3203.6992,3,3,10,1023,54,0,1,2,0
2534.1872,4,3,5,2242,181,0,0,6,0
2322.7778,6,3,12,1023,54,0,5,10,0
1406.9114,5,3,7,1023,54,0,0,10,0
1314.1994,3,3,5,444,105,0,1,2,0
1242.7992,5,3,6,2242,181,0,0,10,0
1155.1511,4,3,7,1023,54,0,1,5,0
1146.745,4,3,5,2615,293,0,0,6,0
1024.4742,3,3,5,755,163,0,0,3,0
999.5853,5,3,8,1023,54,0,0,10,0
827.6261,6,3,15,1023,54,0,3,12,0
4430.8167,6,2,9,1023,54,0,1,14,0
3546.9961,6,5,7,2242,181,0,2,13,0
1360.5953,4,5,4,2242,181,0,0,6,0
1353.3972,5,5,6,755,163,0,0,10,0
2047.8144,6,4,8,1023,54,0,0,10,5
2028.0856,5,4,7,2615,293,0,0,10,0
1353.4128,5,4,6,755,163,0,0,10,0
2064.5403,3,3,6,98,50,0,0,1,2
1541.8361,5,3,6,1023,54,0,0,10,0
2051.5947,3,6,9,2615,293,0,0,1,2
2312.815,6,5,20,367,67,1,2,4,8
2192.9189,4,1,7,2615,293,0,1,5,0
2151.0936,4,1,5,309,56,0,0,6,0
3736.1356,3,5,5,2684,416,0,0,3,0
3715.7506,5,5,7,2242,181,0,1,9,0
3497.5508,4,5,4,2242,181,0,0,6,0
4015.8486,4,4,5,2242,181,0,0,6,0
3720.7014,4,4,9,2615,293,0,1,5,0
3668.5214,5,4,7,2242,181,0,0,10,0
3668.2483,4,4,7,2615,293,0,1,5,0
3333.6367,3,4,10,367,67,0,0,3,0
3739.9497,5,3,8,2242,181,0,0,10,0
3736.2522,4,3,8,2615,293,0,0,6,0
3734.8903,5,3,6,2242,181,0,0,6,4
3565.5133,4,3,4,2242,181,0,0,6,0
2911.825,3,3,5,309,56,0,0,3,0
2839.8389,5,3,7,2242,181,0,0,10,0
5822.0917,5,2,16,2615,293,0,1,9,0
3908.2569,3,2,9,15,4,0,0,1,2
677.7878,3,6,9,13,2,0,0,1,2
38.5675,4,6,4,3863,370,0,0,6,0
34.2653,5,6,11,3863,370,0,1,9,0
32.3233,3,6,4,3863,370,0,0,1,2
1865.2622,4,5,14,2249,67,0,1,2,3
1029.5397,8,5,16,2615,293,0,8,13,7
739.7392,4,5,5,41,5,0,0,3,3
